year,quarter,name,sales
2020,1,가락시장,426256256
2020,2,가락시장,879237362
2020,3,가락시장,673053558
2020,4,가락시장,529309060
2020,1,가로공원로76가길,16326512
2020,2,가로공원로76가길,20257237
2020,3,가로공원로76가길,18316525
2020,4,가로공원로76가길,14154335
2020,1,가로공원로80길,15466998
2020,2,가로공원로80길,22748542
2020,3,가로공원로80길,18205126
2020,4,가로공원로80길,13721359
2020,1,가마산로61길,4000000
2020,1,가산디지털단지역_1,679817453
2020,2,가산디지털단지역_1,762201706
2020,3,가산디지털단지역_1,751206113
2020,4,가산디지털단지역_1,651978055
2020,1,가산디지털단지역_2,1924473244
2020,2,가산디지털단지역_2,2076934610
2020,3,가산디지털단지역_2,1919392581
2020,4,가산디지털단지역_2,1691263308
2020,1,가산디지털단지역_3,4724137975
2020,2,가산디지털단지역_3,5597694331
2020,3,가산디지털단지역_3,5759901857
2020,4,가산디지털단지역_3,5327231209
2020,1,가산로3길,13896383
2020,2,가산로3길,25303351
2020,3,가산로3길,57669590
2020,4,가산로3길,44801618
2020,1,가산로5길,14829499
2020,2,가산로5길,11782869
2020,3,가산로5길,21345170
2020,4,가산로5길,24223635
2020,1,가좌로7길,10935766
2020,2,가좌로7길,13554744
2020,3,가좌로7길,13129634
2020,4,가좌로7길,10924380
2020,1,갈현로1길,11205149
2020,2,갈현로1길,6233559
2020,3,갈현로1길,50990593
2020,4,갈현로1길,68759133
2020,1,갈현로33길,10468982
2020,2,갈현로33길,13614435
2020,3,갈현로33길,24421112
2020,4,갈현로33길,18385887
2020,1,갈현로41길,11085053
2020,2,갈현로41길,8317535
2020,3,갈현로41길,6100297
2020,4,갈현로41길,5255720
2020,1,갈현로7길,76354759
2020,2,갈현로7길,66812886
2020,3,갈현로7길,66762921
2020,4,갈현로7길,64820223
2020,1,강남 마이스 관광특구,2509561178
2020,2,강남 마이스 관광특구,2177054503
2020,3,강남 마이스 관광특구,2190002943
2020,4,강남 마이스 관광특구,1805724821
2020,1,강남개포시장,41952010
2020,2,강남개포시장,47323019
2020,3,강남개포시장,54905339
2020,4,강남개포시장,45432928
2020,1,강남구 논현역_1,1458904358
2020,2,강남구 논현역_1,1390727467
2020,3,강남구 논현역_1,1248826396
2020,4,강남구 논현역_1,905957609
2020,1,강남구 논현역_2,3705594858
2020,2,강남구 논현역_2,3548456192
2020,3,강남구 논현역_2,3615235809
2020,4,강남구 논현역_2,3010044857
2020,1,강남구 논현역_3,149586574
2020,2,강남구 논현역_3,168240860
2020,3,강남구 논현역_3,153566371
2020,4,강남구 논현역_3,130731731
2020,1,강남구 논현역_4,1685172987
2020,2,강남구 논현역_4,1933319992
2020,3,강남구 논현역_4,2185427435
2020,4,강남구 논현역_4,1786497900
2020,1,강남구 신사역_1,149335750
2020,2,강남구 신사역_1,202819608
2020,3,강남구 신사역_1,155995576
2020,4,강남구 신사역_1,210859464
2020,1,강남구 신사역_2,1454001537
2020,2,강남구 신사역_2,1222498971
2020,3,강남구 신사역_2,1515011881
2020,4,강남구 신사역_2,1446819501
2020,1,강남대로118길,36730498
2020,2,강남대로118길,40097358
2020,3,강남대로118길,37824454
2020,4,강남대로118길,24607253
2020,1,강남대로136길,416189596
2020,2,강남대로136길,469766365
2020,3,강남대로136길,429781752
2020,4,강남대로136길,360584032
2020,1,강남대로23길,394752953
2020,2,강남대로23길,488295144
2020,3,강남대로23길,452483962
2020,4,강남대로23길,424692480
2020,1,강남대로34길,259685013
2020,2,강남대로34길,363767132
2020,3,강남대로34길,283618015
2020,4,강남대로34길,229057591
2020,1,강남대로8길,298118196
2020,2,강남대로8길,364648693
2020,3,강남대로8길,313291654
2020,4,강남대로8길,331572246
2020,1,강남시장_동작,82193166
2020,2,강남시장_동작,124138176
2020,3,강남시장_동작,75930494
2020,4,강남시장_동작,100620863
2020,1,강동대로53길,255963858
2020,2,강동대로53길,331409159
2020,3,강동대로53길,347641977
2020,4,강동대로53길,292173945
2020,1,강북종합시장,10903941
2020,2,강북종합시장,11253500
2020,3,강북종합시장,8275968
2020,4,강북종합시장,6373668
2020,1,강서구청,357895064
2020,2,강서구청,383457399
2020,3,강서구청,324383140
2020,4,강서구청,260019037
2020,1,강서로15길,21835354
2020,2,강서로15길,27209936
2020,3,강서로15길,22070391
2020,4,강서로15길,13260225
2020,1,강서로18길,9808267
2020,2,강서로18길,12160881
2020,3,강서로18길,11431122
2020,4,강서로18길,9908377
2020,1,강서로29길,22390464
2020,2,강서로29길,28592929
2020,3,강서로29길,29218999
2020,4,강서로29길,22609069
2020,1,강서로35길,28872962
2020,2,강서로35길,30000000
2020,3,강서로35길,29747049
2020,4,강서로35길,12951096
2020,1,강서로45길,302580679
2020,2,강서로45길,381997938
2020,3,강서로45길,368681674
2020,4,강서로45길,320765065
2020,1,강서로45다길,13458934
2020,2,강서로45다길,13769306
2020,3,강서로45다길,10646609
2020,4,강서로45다길,8411067
2020,1,강서로47길,107527695
2020,2,강서로47길,111651646
2020,3,강서로47길,105792042
2020,4,강서로47길,81434304
2020,1,강서로47라길,6725652
2020,2,강서로47라길,11665866
2020,3,강서로47라길,14322258
2020,4,강서로47라길,6245528
2020,1,강서로5가길,80777934
2020,2,강서로5가길,98158505
2020,3,강서로5가길,97470592
2020,4,강서로5가길,63807415
