year,quarter,name,sales
2019,4,강서로8길,149592065
2019,1,개봉동 현대아파트 인근,33841410
2019,2,개봉동 현대아파트 인근,38452501
2019,3,개봉동 현대아파트 인근,42788381
2019,4,개봉동 현대아파트 인근,75393249
2019,1,개봉로11길,22797885
2019,2,개봉로11길,22798800
2019,3,개봉로11길,25892938
2019,4,개봉로11길,24634282
2019,1,개봉로17다길,111627430
2019,2,개봉로17다길,110868063
2019,3,개봉로17다길,118545446
2019,4,개봉로17다길,92778439
2019,1,개봉로1길,38163399
2019,2,개봉로1길,11266263
2019,3,개봉로1길,12575443
2019,4,개봉로1길,9646052
2019,1,개봉로20길,27526801
2019,2,개봉로20길,36671167
2019,3,개봉로20길,24373975
2019,1,개봉로23가길,77655283
2019,2,개봉로23가길,100514392
2019,3,개봉로23가길,203483005
2019,4,개봉로23가길,110350815
2019,1,개봉로2길,44111579
2019,2,개봉로2길,14950354
2019,3,개봉로2길,46947717
2019,4,개봉로2길,66351171
2019,1,개봉로3길,124055994
2019,2,개봉로3길,104883017
2019,3,개봉로3길,101307934
2019,4,개봉로3길,106716263
2019,1,개운사길,706261672
2019,2,개운사길,645178438
2019,3,개운사길,745112255
2019,4,개운사길,1483696906
2019,1,개포로17길,29975206
2019,2,개포로17길,40184687
2019,3,개포로17길,34546243
2019,4,개포로17길,19508235
2019,1,개포로20길,183293657
2019,2,개포로20길,222338788
2019,3,개포로20길,227833574
2019,4,개포로20길,124824515
2019,1,개포로28길,136776681
2019,2,개포로28길,150588539
2019,3,개포로28길,135440313
2019,4,개포로28길,69717826
2019,1,개포로82길,166283216
2019,2,개포로82길,204518104
2019,3,개포로82길,258019364
2019,4,개포로82길,235999821
2019,1,개화동로23길,33927373
2019,2,개화동로23길,41160855
2019,3,개화동로23길,39971372
2019,4,개화동로23길,46365115
2019,1,개화동로25길,23007030
2019,2,개화동로25길,15667881
2019,1,거마로20길,47904846
2019,2,거마로20길,47214428
2019,3,거마로20길,48951253
2019,4,거마로20길,21551886
2019,1,건대입구역,2376442249
2019,2,건대입구역,1499362520
2019,3,건대입구역,2954470442
2019,4,건대입구역,7540908049
2019,1,겸재로29길,13083578
2019,2,겸재로29길,11437892
2019,3,겸재로29길,15130940
2019,4,겸재로29길,67252598
2019,1,겸재로36길,10480166
2019,2,겸재로36길,9970750
2019,3,겸재로36길,11874414
2019,4,겸재로36길,12431289
2019,1,겸재로54길,16979049
2019,2,겸재로54길,28394045
2019,3,겸재로54길,24055386
2019,4,겸재로54길,22842662
2019,1,경인로15길,28932672
2019,2,경인로15길,33407361
2019,3,경인로15길,33220934
2019,4,경인로15길,21621081
2019,1,경인로31길,59264885
2019,2,경인로31길,40338229
2019,3,경인로31길,74545842
2019,4,경인로31길,67698097
2019,1,경인로35길,17049946
2019,2,경인로35길,19374143
2019,3,경인로35길,18866217
2019,4,경인로35길,35123329
2019,1,경인로47길,281713220
2019,2,경인로47길,292223503
2019,3,경인로47길,449544561
2019,4,경인로47길,454963864
2019,1,경인로77길,1632
2019,2,경인로77길,1785657
2019,3,경인로77길,133566282
2019,4,경인로77길,146156746
2019,1,경인로80길,40149211
2019,2,경인로80길,65781468
2019,3,경인로80길,57952465
2019,4,경인로80길,22346794
2019,1,경창시장,16991544
2019,2,경창시장,19191951
2019,3,경창시장,17076643
2019,4,경창시장,17550559
2019,1,경희대로3길,51750641
2019,2,경희대로3길,42650017
2019,3,경희대로3길,43997166
2019,1,경희대로4길,389958580
2019,2,경희대로4길,553909090
2019,3,경희대로4길,422150932
2019,4,경희대로4길,416579981
2019,1,경희대학교,1384314283
2019,2,경희대학교,1688106911
2019,3,경희대학교,1961096464
2019,4,경희대학교,2360406403
2019,1,계동길,570413765
2019,2,계동길,543160033
2019,3,계동길,432042927
2019,4,계동길,340408777
2019,1,고덕로10길,144533856
2019,2,고덕로10길,137908914
2019,3,고덕로10길,132698090
2019,4,고덕로10길,106861982
2019,1,고덕로25길,82081223
2019,2,고덕로25길,86259137
2019,3,고덕로25길,85112396
2019,4,고덕로25길,80251285
2019,1,고무래로8길,598820903
2019,2,고무래로8길,358010918
2019,3,고무래로8길,671507493
2019,4,고무래로8길,717089166
2019,1,고산자로6길,238655001
2019,2,고산자로6길,242153410
2019,3,고산자로6길,247078846
2019,4,고산자로6길,248414460
2019,1,고속터미널역,4159396741
2019,2,고속터미널역,3963840664
2019,3,고속터미널역,4212506607
2019,4,고속터미널역,3441214639
2019,1,고척로21나길,7641568
2019,3,고척로21나길,8076784
2019,4,고척로21나길,191876585
2019,1,고척로27길,4754444
2019,2,고척로27길,4097702
2019,3,고척로27길,5214627
2019,4,고척로27길,5323313
2019,1,고척로27다길,7239803
2019,2,고척로27다길,11109288
2019,3,고척로27다길,8220779
2019,4,고척로27다길,8179026
2019,1,고척로52길,1070886
2019,2,고척로52길,3583269
2019,3,고척로52길,3699041
2019,1,곰달래로10길,33011683
2019,2,곰달래로10길,37739827
2019,3,곰달래로10길,50391074
2019,4,곰달래로10길,30979780
2019,1,곰달래로25길,92777603
2019,2,곰달래로25길,107921427
2019,3,곰달래로25길,122807329
2019,4,곰달래로25길,96709682
2019,1,곰달래로2길,918136
2019,2,곰달래로2길,138179
2019,1,곰달래로31길,23207647
2019,2,곰달래로31길,25505871
2019,3,곰달래로31길,23858400
2019,4,곰달래로31길,62179555
2019,1,곰달래로3길,14587356
2019,2,곰달래로3길,13374679
2019,3,곰달래로3길,24998218
2019,4,곰달래로3길,8873941
2019,1,곰달래로47길,17774984
2019,2,곰달래로47길,14824650
2019,3,곰달래로47길,17226783
2019,4,곰달래로47길,13271129
2019,1,곰달래로5길,11338976
2019,2,곰달래로5길,11483707
2019,3,곰달래로5길,12000000
2019,4,곰달래로5길,11654676
2019,1,곰달래로60길,265776662
2019,2,곰달래로60길,353044235
2019,3,곰달래로60길,372032669
2019,4,곰달래로60길,104858643
2019,1,공덕시장,76176015
2019,2,공덕시장,104576066
2019,3,공덕시장,111892255
2019,4,공덕시장,107835335
2019,1,공덕역,201629531
2019,2,공덕역,128561527
2019,3,공덕역,174228291
2019,4,공덕역,66858471
2019,1,공릉동도깨비시장,4496134
2019,2,공릉동도깨비시장,6136725
2019,3,공릉동도깨비시장,5425941
2019,4,공릉동도깨비시장,4425880
2019,1,공릉로12가길,2526770
2019,2,공릉로12가길,3626303
2019,3,공릉로12가길,3048508
2019,4,공릉로12가길,2932088
2019,1,공릉로2길,68565623
2019,2,공릉로2길,51404438
2019,3,공릉로2길,42226846
2019,4,공릉로2길,18264858
2019,1,공릉로58길,40125618
2019,2,공릉로58길,72629064
2019,3,공릉로58길,67649511
2019,4,공릉로58길,70401176
2019,1,공원로6가길,130452941
2019,2,공원로6가길,141925631
2019,3,공원로6가길,80171107
2019,4,공원로6가길,116909407
2019,1,공항대로38길,250293034
2019,2,공항대로38길,274092427
2019,3,공항대로38길,256894092
2019,4,공항대로38길,262034658
2019,1,공항대로42길,64153301
2019,2,공항대로42길,99902576
2019,3,공항대로42길,97659876
2019,4,공항대로42길,110059322
2019,1,공항대로55길,230223250
2019,2,공항대로55길,191992166
2019,3,공항대로55길,236693122
2019,4,공항대로55길,236704541
2019,1,공항대로59길,159030296
2019,2,공항대로59길,161557343
2019,3,공항대로59길,155430948
2019,4,공항대로59길,126876138
2019,1,공항대로59다길,83966404
2019,2,공항대로59다길,94146968
2019,3,공항대로59다길,108607648
2019,4,공항대로59다길,75379502
2019,1,공항대로61길,346418156
2019,2,공항대로61길,378533650
2019,3,공항대로61길,375712864
2019,4,공항대로61길,374133342
2019,1,공항대로8길,38067835
2019,2,공항대로8길,39634696
2019,3,공항대로8길,49581286
2019,4,공항대로8길,99358512
2019,1,공항시장,14752241
2019,2,공항시장,15416979
2019,3,공항시장,15936657
2019,4,공항시장,15675910
2019,1,관악구 사당역_1,1270872272
2019,2,관악구 사당역_1,1171824534
2019,3,관악구 사당역_1,1254659191
2019,4,관악구 사당역_1,1369070845
2019,1,관악구 사당역_2,3728613992
2019,2,관악구 사당역_2,3284278014
2019,3,관악구 사당역_2,4091130015
2019,4,관악구 사당역_2,3009657856
2019,1,관악구 사당역_3,741722557
2019,2,관악구 사당역_3,766494390
2019,3,관악구 사당역_3,878088189
2019,4,관악구 사당역_3,745468651
2019,1,관악로10길,40951137
2019,2,관악로10길,42151179
2019,3,관악로10길,38501048
2019,4,관악로10길,46110646
2019,1,관악로14길,177011989
2019,2,관악로14길,232215657
2019,3,관악로14길,190255816
2019,4,관악로14길,240240238
2019,1,관악로28길,37362385
2019,2,관악로28길,55382825
2019,3,관악로28길,47079456
2019,4,관악로28길,42904506
2019,1,관악로30길,61961132
2019,2,관악로30길,67711521
2019,3,관악로30길,73994562
2019,4,관악로30길,55358841
2019,1,관천로22길,82913522
2019,2,관천로22길,90354346
2019,3,관천로22길,84500710
2019,4,관천로22길,69021151
2019,1,광나루로12길,84931772
2019,2,광나루로12길,86472856
2019,3,광나루로12길,82009984
2019,4,광나루로12길,135130818
2019,1,광나루로24길,327845497
2019,2,광나루로24길,589674517
2019,3,광나루로24길,421983070
2019,4,광나루로24길,589653114
2019,1,광나루로36길,78662648
2019,2,광나루로36길,109837897
2019,3,광나루로36길,108593020
2019,4,광나루로36길,107456196
2019,1,광나루로37길,18073902
2019,2,광나루로37길,13194878
2019,3,광나루로37길,7838780
2019,4,광나루로37길,7506586
2019,1,광나루로40길,82629338
2019,2,광나루로40길,96546075
2019,3,광나루로40길,115903421
2019,4,광나루로40길,94826044
2019,1,광나루로52길,9937816
2019,2,광나루로52길,10287027
2019,3,광나루로52길,8827735
2019,4,광나루로52길,10786655
2019,1,광성로6길,393071879
2019,2,광성로6길,499002889
2019,3,광성로6길,490938583
2019,4,광성로6길,435275711
2019,1,광장시장,116124145
2019,2,광장시장,141107051
2019,3,광장시장,150696850
2019,4,광장시장,118019023
2019,1,교대역_1,2487394915
2019,2,교대역_1,2408955620
2019,3,교대역_1,2919625047
2019,4,교대역_1,3607853441
2019,1,교대역_2,824556509
2019,2,교대역_2,557610694
2019,3,교대역_2,675716251
2019,4,교대역_2,1189172958
2019,1,교대역_3,586518400
2019,2,교대역_3,589047490
2019,3,교대역_3,582012422
2019,4,교대역_3,652595702
2019,1,교대역_4,495142294
2019,2,교대역_4,576550257
2019,3,교대역_4,800248346
2019,4,교대역_4,967836400
2019,1,구로동로15길,6119554
2019,2,구로동로15길,6519824
2019,3,구로동로15길,7590793
2019,4,구로동로15길,4349848
2019,1,구로동로38길,5921311
